
         15500315 function calls (15378581 primitive calls) in 64.717 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.016    0.016 inspect.py:27(<module>)
      118    0.000    0.000    0.000    0.000 enum.py:16(_is_dunder)
       59    0.000    0.000    0.000    0.000 {method 'find_loader' of 'zipimport.zipimporter' objects}
      249    0.000    0.000    0.000    0.000 container.py:29(__init__)
       78    0.000    0.000    0.022    0.000 elffile.py:462(_get_section_header)
      257    0.000    0.000    0.000    0.000 hex.py:5(<genexpr>)
       74    0.000    0.000    0.001    0.000 genericpath.py:27(isfile)
      317    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      163    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
      183    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:716(find_spec)
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
       19    0.000    0.000    0.001    0.000 posixpath.py:318(normpath)
       90    0.000    0.000    0.001    0.000 pyparsing.py:1577(__init__)
       51    0.000    0.000    0.004    0.000 pyparsing.py:1238(__add__)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      278    0.000    0.000    0.000    0.000 version.py:332(_parse_local_version)
        1    0.000    0.000    0.002    0.002 opcode.py:5(<module>)
       47    0.000    0.000    0.001    0.000 zipfile.py:320(__init__)
       79    0.000    0.000    0.021    0.000 utils.py:30(struct_parse)
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
    77/71    0.000    0.000    0.028    0.000 elffile.py:89(get_section)
      108    0.000    0.000    0.001    0.000 __init__.py:1856(has_metadata)
      154    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.002    0.002 hex.py:1(<module>)
       90    0.000    0.000    0.000    0.000 sections.py:110(__getitem__)
      123    0.000    0.000    0.001    0.000 core.py:312(__init__)
      182    0.000    0.000    0.000    0.000 pyparsing.py:2275(<genexpr>)
       96    0.000    0.000    0.001    0.000 __init__.py:1567(_has)
       81    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      215    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.002    0.002 arm64.py:3(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:1805(_index)
      183    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
        2    0.000    0.000    0.437    0.219 __init__.py:15(<module>)
      158    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       91    0.000    0.000    0.001    0.000 abc.py:178(__instancecheck__)
    82/80    0.000    0.000    0.001    0.000 pyparsing.py:286(__init__)
       83    0.000    0.000    0.000    0.000 six.py:141(__init__)
       72    0.000    0.000    0.001    0.000 codecs.py:318(decode)
      169    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       39    0.000    0.000    0.002    0.000 pyparsing.py:2514(__init__)
        8    0.000    0.000    0.014    0.002 __init__.py:1(<module>)
        1    0.000    0.000    0.009    0.009 quoprimime.py:27(<module>)
       96    0.000    0.000    0.000    0.000 py3compat.py:42(bytes2str)
      107    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
     17/3    0.000    0.000    0.001    0.000 pyparsing.py:2324(streamline)
      195    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      208    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.005    0.005 markers.py:4(<module>)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:786(__init__)
        1    0.000    0.000    0.585    0.585 __init__.py:2(<module>)
      183    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      187    0.000    0.000    0.000    0.000 pyparsing.py:1730(<genexpr>)
        1    0.000    0.000    0.002    0.002 mips.py:3(<module>)
       81    0.000    0.000    0.000    0.000 sre_parse.py:797(fix_flags)
        1    0.000    0.000    0.061    0.061 platform.py:10(<module>)
       73    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       82    0.000    0.000    0.000    0.000 pyparsing.py:277(__new__)
        1    0.000    0.000    0.002    0.002 systemz.py:3(<module>)
       94    0.000    0.000    0.247    0.003 re.py:222(compile)
      188    0.000    0.000    0.000    0.000 {method 'read' of '_io.BytesIO' objects}
       39    0.000    0.000    0.003    0.000 pyparsing.py:1349(__or__)
        9    0.000    0.000    0.001    0.000 posixpath.py:377(_joinrealpath)
        3    0.000    0.000    0.002    0.001 gettext.py:369(find)
  177/166    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
       72    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
      147    0.000    0.000    0.000    0.000 core.py:105(_set_flag)
        1    0.000    0.000    0.121    0.121 requirements.py:4(<module>)
       35    0.000    0.000    0.000    0.000 sre_parse.py:251(getwhile)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1178(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.dlopen}
       71    0.000    0.000    0.001    0.000 macros.py:155(ULInt32)
       81    0.000    0.000    0.000    0.000 sre_parse.py:70(__init__)
        1    0.000    0.000    0.009    0.009 __init__.py:950(subscribe)
     10/2    0.000    0.000    0.001    0.000 abc.py:194(__subclasscheck__)
       27    0.000    0.000    0.001    0.000 core.py:626(__init__)
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
       97    0.000    0.000    0.000    0.000 pyparsing.py:3421(<genexpr>)
        9    0.000    0.000    0.012    0.001 pyparsing.py:1727(__init__)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1260(_fill_cache)
       24    0.000    0.000    0.001    0.000 pyparsing.py:1878(parseImpl)
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(<genexpr>)
      101    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
      160    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
       48    0.000    0.000    0.000    0.000 __init__.py:1622(<genexpr>)
       64    0.000    0.000    0.000    0.000 pyparsing.py:950(preParse)
       16    0.000    0.000    0.074    0.005 pyparsing.py:1844(__init__)
       71    0.000    0.000    0.028    0.000 elffile.py:110(iter_sections)
      159    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.011    0.011 socket.py:47(<module>)
       71    0.000    0.000    0.009    0.000 __init__.py:2952(<lambda>)
      137    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      110    0.000    0.000    0.000    0.000 enum.py:24(_is_sunder)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
        1    0.000    0.000    0.008    0.008 pdb.py:65(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:261(<dictcomp>)
       35    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
