         13509479 function calls (13505344 primitive calls) in 67.098 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      119    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
       49    0.001    0.000    0.001    0.000 {built-in method posix.lstat}
      107    0.000    0.000    0.007    0.000 pyparsing.py:828(copy)
       12    0.000    0.000    0.003    0.000 posixpath.py:377(_joinrealpath)
      242    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      151    0.000    0.000    0.003    0.000 __init__.py:1373(safe_name)
       28    0.000    0.000    0.001    0.000 ipaddress.py:1630(_ip_int_from_string)
      147    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:419(parent)
      364    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       58    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1086(_legacy_get_spec)
       71    0.000    0.000    0.026    0.000 __init__.py:2952(<lambda>)
        1    0.000    0.000    0.045    0.045 pyparsing.py:58(<module>)
       29    0.000    0.000    0.002    0.000 argparse.py:160(__init__)
      133    0.000    0.000    0.010    0.000 sre_parse.py:90(closegroup)
      104    0.000    0.000    0.002    0.000 __init__.py:1567(_has)
      127    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:382(_check_name_wrapper)
      127    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:826(path_stats)
        1    0.000    0.000    0.027    0.027 __init__.py:950(subscribe)
      357    0.000    0.000    0.000    0.000 version.py:352(<lambda>)
      108    0.000    0.000    0.001    0.000 __init__.py:1856(has_metadata)
       45    0.000    0.000    0.001    0.000 sre_compile.py:374(_mk_bitmap)
      110    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      321    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        7    0.000    0.000    0.008    0.001 enum.py:314(_create_)
       47    0.000    0.000    0.001    0.000 sre_compile.py:391(_generate_overlap_table)
       19    0.000    0.000    0.001    0.000 posixpath.py:318(normpath)
       72    0.000    0.000    0.006    0.000 __init__.py:1872(get_metadata_lines)
       20    0.000    0.000    0.001    0.000 abc.py:135(<setcomp>)
      243    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       55    0.000    0.000    0.001    0.000 pyparsing.py:1605(__init__)
      140    0.000    0.000    0.256    0.002 re.py:222(compile)
       80    0.000    0.000    0.001    0.000 ipaddress.py:1125(_parse_octet)
        1    0.000    0.000    0.002    0.002 ppc.py:3(<module>)
       29    0.000    0.000    0.001    0.000 argparse.py:1445(_get_optional_kwargs)
      146    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:789(find_spec)
